name,Scientific Name,Endemic Status,Conservation Status,forest,city,Region,Unique Fact,Season,active
Tulsi,Mangifera indica,No,Least Concern,Wetlands,Hyderabad,Northeast India,Healing properties for skin,winter,afternoon
Mango Tree,Nelumbo nucifera,Yes,Least Concern,Fields,Amravati,North India,Evergreen and long-lived,summer,night
Neem Tree,Nelumbo nucifera,Yes,Near Threatened,Deserts,Hyderabad,West India,Evergreen and long-lived,monsoon,afternoon
Banana Plant,Azadirachta indica,No,Vulnerable,Orchards,Lucknow,West India,Produces delicious fruit,winter,afternoon
Lotus,Aloe barbadensis,Yes,Vulnerable,Coastal Forests,Hyderabad,South India,Fast-growing and high yield,summer,night
Neem Tree,Mangifera indica,No,Vulnerable,Fields,Kolkata,West India,Known for medicinal properties,monsoon,night
Sunflower,Pinus,Yes,Endangered,Mountains,Amravati,South India,Sacred plant in India,winter,night
Neem Tree,Mangifera indica,Yes,Near Threatened,Mountains,Jaipur,West India,National flower of India,spring,night
Aloe Vera,Ocimum sanctum,No,Endangered,Tropical Forests,Chennai,North India,Fast-growing and high yield,monsoon,afternoon
Rose,Nelumbo nucifera,Yes,Endangered,Grasslands,Amravati,Central India,Healing properties for skin,summer,afternoon
Mango Tree,Musa acuminata,No,Least Concern,Mountains,Kolkata,South India,Fast-growing and high yield,monsoon,night
Mango Tree,Nelumbo nucifera,No,Vulnerable,Rainforests,Pune,South India,Fast-growing and high yield,summer,afternoon
Rose,Cactaceae,Yes,Vulnerable,Urban Gardens,Pune,North India,Sacred plant in India,winter,night
Banana Plant,Cactaceae,No,Least Concern,Fields,Nagpur,Central India,Healing properties for skin,spring,night
Cactus,Aloe barbadensis,No,Vulnerable,Urban Gardens,Hyderabad,Central India,Evergreen and long-lived,monsoon,afternoon
Lotus,Cactaceae,No,Least Concern,Wetlands,Mumbai,Central India,Symbol of love and beauty,winter,afternoon
Lotus,Mangifera indica,Yes,Near Threatened,Rainforests,Hyderabad,West India,Evergreen and long-lived,spring,morning
Lotus,Musa acuminata,Yes,Near Threatened,Urban Gardens,Jaipur,South India,Symbol of love and beauty,monsoon,morning
Aloe Vera,Mangifera indica,Yes,Vulnerable,Rainforests,Pune,North India,Evergreen and long-lived,winter,night
Banana Plant,Helianthus annuus,Yes,Least Concern,Wetlands,Kolkata,Northeast India,Healing properties for skin,winter,night
Cactus,Mangifera indica,No,Least Concern,Grasslands,Lucknow,West India,Evergreen and long-lived,spring,night
Banana Plant,Helianthus annuus,No,Near Threatened,Deserts,Lucknow,South India,Sacred plant in India,monsoon,afternoon
Pine Tree,Musa acuminata,No,Near Threatened,Orchards,Bangalore,South India,National flower of India,winter,night
Pine Tree,Musa acuminata,Yes,Least Concern,Mountains,Kolkata,Northeast India,Known for medicinal properties,winter,afternoon
Lotus,Musa acuminata,No,Least Concern,Mountains,Pune,Central India,Evergreen and long-lived,summer,night
Sunflower,Aloe barbadensis,Yes,Endangered,Deserts,Lucknow,South India,Turns towards the sun,monsoon,night
Mango Tree,Mangifera indica,Yes,Vulnerable,Wetlands,Amravati,Central India,Survives in arid climates,monsoon,night
Neem Tree,Ocimum sanctum,No,Vulnerable,Tropical Forests,Lucknow,East India,Sacred plant in India,winter,night
Rose,Aloe barbadensis,No,Least Concern,Rainforests,Ahmedabad,Northeast India,Symbol of love and beauty,summer,afternoon
Pine Tree,Helianthus annuus,No,Near Threatened,Wetlands,Hyderabad,Northeast India,Symbol of love and beauty,monsoon,morning
Cactus,Mangifera indica,No,Least Concern,Tropical Forests,Jaipur,South India,National flower of India,monsoon,morning
Sunflower,Azadirachta indica,Yes,Vulnerable,Grasslands,Lucknow,East India,Evergreen and long-lived,summer,afternoon
Cactus,Nelumbo nucifera,Yes,Near Threatened,Urban Gardens,Amravati,Northeast India,Fast-growing and high yield,spring,afternoon
Sunflower,Cactaceae,No,Endangered,Mountains,Ahmedabad,North India,Healing properties for skin,summer,morning
Tulsi,Cactaceae,No,Endangered,Fields,Amravati,North India,National flower of India,winter,morning
Tulsi,Mangifera indica,No,Vulnerable,Grasslands,Mumbai,Northeast India,Fast-growing and high yield,monsoon,morning
Tulsi,Aloe barbadensis,Yes,Near Threatened,Fields,Delhi,East India,Sacred plant in India,summer,afternoon
Aloe Vera,Pinus,No,Endangered,Wetlands,Bangalore,East India,Survives in arid climates,summer,afternoon
Banana Plant,Pinus,Yes,Least Concern,Urban Gardens,Nagpur,Central India,Healing properties for skin,winter,afternoon
Neem Tree,Cactaceae,No,Least Concern,Grasslands,Mumbai,East India,Survives in arid climates,spring,afternoon
Rose,Rosa indica,Yes,Vulnerable,Grasslands,Kolkata,East India,Known for medicinal properties,monsoon,morning
Tulsi,Cactaceae,No,Least Concern,Grasslands,Lucknow,West India,National flower of India,winter,afternoon
Rose,Aloe barbadensis,Yes,Near Threatened,Rainforests,Amravati,South India,National flower of India,summer,morning
Neem Tree,Musa acuminata,Yes,Least Concern,Rainforests,Mumbai,West India,Known for medicinal properties,spring,morning
Rose,Pinus,No,Vulnerable,Coastal Forests,Hyderabad,North India,Turns towards the sun,monsoon,night
Rose,Nelumbo nucifera,No,Vulnerable,Wetlands,Chennai,Central India,Turns towards the sun,monsoon,morning
Aloe Vera,Pinus,Yes,Vulnerable,Tropical Forests,Hyderabad,East India,National flower of India,spring,night
Pine Tree,Rosa indica,Yes,Near Threatened,Mountains,Hyderabad,East India,National flower of India,spring,night
Banana Plant,Aloe barbadensis,Yes,Endangered,Deserts,Amravati,Northeast India,Turns towards the sun,winter,night
Banana Plant,Cactaceae,Yes,Endangered,Coastal Forests,Mumbai,West India,Produces delicious fruit,monsoon,afternoon
Sunflower,Cactaceae,No,Endangered,Mountains,Bangalore,North India,Known for medicinal properties,monsoon,night
Pine Tree,Cactaceae,Yes,Least Concern,Mountains,Nagpur,West India,National flower of India,winter,morning
Neem Tree,Musa acuminata,No,Near Threatened,Deserts,Delhi,North India,Produces delicious fruit,winter,afternoon
Banana Plant,Rosa indica,No,Vulnerable,Urban Gardens,Lucknow,South India,Turns towards the sun,spring,morning
Banana Plant,Musa acuminata,Yes,Least Concern,Fields,Nagpur,West India,Known for medicinal properties,winter,afternoon
Cactus,Pinus,No,Vulnerable,Tropical Forests,Kolkata,West India,Produces delicious fruit,summer,night
Rose,Pinus,Yes,Near Threatened,Wetlands,Chennai,Northeast India,National flower of India,summer,night
Banana Plant,Helianthus annuus,No,Vulnerable,Urban Gardens,Chennai,Central India,Evergreen and long-lived,winter,afternoon
Neem Tree,Rosa indica,Yes,Endangered,Orchards,Nagpur,South India,Evergreen and long-lived,summer,morning
Tulsi,Musa acuminata,Yes,Vulnerable,Mountains,Kolkata,Northeast India,National flower of India,monsoon,morning
Tulsi,Musa acuminata,Yes,Least Concern,Rainforests,Nagpur,Central India,Turns towards the sun,winter,afternoon
Pine Tree,Nelumbo nucifera,No,Near Threatened,Deserts,Hyderabad,Northeast India,Sacred plant in India,winter,afternoon
Sunflower,Pinus,Yes,Endangered,Mountains,Mumbai,West India,Survives in arid climates,spring,night
Pine Tree,Helianthus annuus,No,Endangered,Tropical Forests,Jaipur,Central India,Fast-growing and high yield,winter,afternoon
Rose,Musa acuminata,Yes,Least Concern,Tropical Forests,Hyderabad,Central India,Symbol of love and beauty,winter,night
Sunflower,Azadirachta indica,No,Near Threatened,Deserts,Amravati,South India,Symbol of love and beauty,monsoon,night
Cactus,Rosa indica,No,Vulnerable,Orchards,Lucknow,Northeast India,Sacred plant in India,monsoon,morning
Mango Tree,Azadirachta indica,No,Endangered,Coastal Forests,Lucknow,Central India,Evergreen and long-lived,winter,afternoon
Neem Tree,Mangifera indica,No,Near Threatened,Mountains,Jaipur,North India,Healing properties for skin,summer,night
Pine Tree,Ocimum sanctum,No,Endangered,Mountains,Jaipur,West India,Evergreen and long-lived,monsoon,night
Pine Tree,Cactaceae,No,Endangered,Grasslands,Bangalore,West India,Sacred plant in India,winter,night
Mango Tree,Musa acuminata,No,Endangered,Fields,Delhi,Central India,National flower of India,summer,afternoon
Tulsi,Ocimum sanctum,No,Near Threatened,Mountains,Delhi,Northeast India,Turns towards the sun,winter,morning
Rose,Pinus,Yes,Near Threatened,Grasslands,Pune,West India,Turns towards the sun,monsoon,morning
Banana Plant,Rosa indica,Yes,Least Concern,Coastal Forests,Chennai,Central India,Turns towards the sun,winter,night
Mango Tree,Pinus,Yes,Endangered,Wetlands,Amravati,East India,Known for medicinal properties,summer,night
Aloe Vera,Rosa indica,No,Least Concern,Rainforests,Lucknow,Northeast India,Known for medicinal properties,winter,afternoon
Aloe Vera,Cactaceae,Yes,Least Concern,Orchards,Mumbai,South India,National flower of India,winter,night
Tulsi,Aloe barbadensis,Yes,Endangered,Orchards,Mumbai,Central India,Known for medicinal properties,summer,afternoon
Mango Tree,Rosa indica,Yes,Endangered,Rainforests,Mumbai,East India,Healing properties for skin,summer,night
Aloe Vera,Azadirachta indica,Yes,Near Threatened,Wetlands,Bangalore,Northeast India,Symbol of love and beauty,monsoon,night
Pine Tree,Ocimum sanctum,Yes,Least Concern,Coastal Forests,Pune,East India,Turns towards the sun,monsoon,night
Rose,Ocimum sanctum,No,Vulnerable,Fields,Delhi,South India,Turns towards the sun,monsoon,morning
Sunflower,Musa acuminata,No,Near Threatened,Tropical Forests,Mumbai,South India,Survives in arid climates,spring,afternoon
Lotus,Musa acuminata,No,Near Threatened,Tropical Forests,Kolkata,North India,Evergreen and long-lived,winter,afternoon
Lotus,Cactaceae,Yes,Endangered,Orchards,Nagpur,North India,Fast-growing and high yield,winter,afternoon
Neem Tree,Cactaceae,No,Vulnerable,Tropical Forests,Amravati,East India,Produces delicious fruit,monsoon,night
Tulsi,Ocimum sanctum,Yes,Vulnerable,Urban Gardens,Chennai,South India,Produces delicious fruit,winter,morning
Pine Tree,Mangifera indica,Yes,Near Threatened,Orchards,Amravati,North India,Fast-growing and high yield,spring,afternoon
Tulsi,Mangifera indica,Yes,Near Threatened,Wetlands,Nagpur,East India,Sacred plant in India,spring,morning
Banana Plant,Aloe barbadensis,Yes,Least Concern,Mountains,Delhi,South India,Known for medicinal properties,winter,morning
Sunflower,Cactaceae,No,Least Concern,Mountains,Nagpur,East India,Symbol of love and beauty,summer,morning
Banana Plant,Pinus,Yes,Least Concern,Urban Gardens,Nagpur,South India,Symbol of love and beauty,spring,morning
Neem Tree,Musa acuminata,Yes,Vulnerable,Fields,Nagpur,Northeast India,Fast-growing and high yield,monsoon,afternoon
Aloe Vera,Rosa indica,Yes,Vulnerable,Tropical Forests,Hyderabad,Central India,Symbol of love and beauty,summer,morning
Rose,Azadirachta indica,No,Near Threatened,Fields,Nagpur,North India,Turns towards the sun,spring,morning
Sunflower,Azadirachta indica,Yes,Vulnerable,Rainforests,Chennai,South India,Fast-growing and high yield,spring,night
Cactus,Pinus,Yes,Endangered,Rainforests,Lucknow,East India,Healing properties for skin,monsoon,morning
Neem Tree,Azadirachta indica,Yes,Near Threatened,Wetlands,Hyderabad,East India,Produces delicious fruit,monsoon,morning
Neem Tree,Azadirachta indica,Yes,Least Concern,Orchards,Hyderabad,West India,Sacred plant in India,monsoon,night
Banana Plant,Ocimum sanctum,Yes,Near Threatened,Fields,Nagpur,West India,Healing properties for skin,summer,morning
Pine Tree,Cactaceae,No,Least Concern,Grasslands,Chennai,South India,Fast-growing and high yield,spring,night
Sunflower,Cactaceae,No,Near Threatened,Deserts,Jaipur,South India,Fast-growing and high yield,spring,afternoon
Pine Tree,Cactaceae,No,Endangered,Mountains,Chennai,South India,Sacred plant in India,monsoon,afternoon
Mango Tree,Mangifera indica,No,Endangered,Fields,Ahmedabad,North India,Produces delicious fruit,monsoon,afternoon
Aloe Vera,Mangifera indica,No,Endangered,Coastal Forests,Pune,Central India,Survives in arid climates,spring,night
Sunflower,Azadirachta indica,Yes,Endangered,Deserts,Pune,North India,Fast-growing and high yield,summer,morning
Pine Tree,Nelumbo nucifera,No,Least Concern,Mountains,Nagpur,South India,Turns towards the sun,summer,night
Rose,Ocimum sanctum,Yes,Endangered,Fields,Delhi,Northeast India,Healing properties for skin,spring,afternoon
Sunflower,Helianthus annuus,No,Endangered,Tropical Forests,Chennai,Central India,Symbol of love and beauty,summer,morning
Pine Tree,Pinus,No,Least Concern,Deserts,Delhi,South India,Evergreen and long-lived,summer,morning
Lotus,Musa acuminata,Yes,Endangered,Rainforests,Delhi,Northeast India,Healing properties for skin,summer,night
Lotus,Nelumbo nucifera,Yes,Least Concern,Fields,Chennai,West India,Turns towards the sun,spring,morning
Pine Tree,Cactaceae,Yes,Vulnerable,Rainforests,Mumbai,Northeast India,Survives in arid climates,summer,morning
Banana Plant,Musa acuminata,Yes,Vulnerable,Rainforests,Kolkata,East India,Produces delicious fruit,summer,afternoon
Lotus,Nelumbo nucifera,No,Vulnerable,Grasslands,Chennai,East India,Produces delicious fruit,monsoon,morning
Lotus,Cactaceae,No,Least Concern,Mountains,Ahmedabad,North India,National flower of India,monsoon,afternoon
Lotus,Mangifera indica,No,Vulnerable,Tropical Forests,Delhi,West India,Known for medicinal properties,spring,morning
Pine Tree,Ocimum sanctum,Yes,Least Concern,Fields,Delhi,North India,Healing properties for skin,winter,afternoon
Tulsi,Azadirachta indica,No,Near Threatened,Tropical Forests,Bangalore,East India,Sacred plant in India,monsoon,morning
Tulsi,Mangifera indica,Yes,Least Concern,Mountains,Amravati,Northeast India,Survives in arid climates,summer,afternoon
Tulsi,Musa acuminata,No,Vulnerable,Urban Gardens,Hyderabad,South India,Survives in arid climates,winter,morning
Aloe Vera,Cactaceae,Yes,Least Concern,Coastal Forests,Bangalore,Northeast India,Symbol of love and beauty,monsoon,afternoon
Aloe Vera,Nelumbo nucifera,No,Endangered,Wetlands,Mumbai,Northeast India,Symbol of love and beauty,summer,morning
Mango Tree,Pinus,Yes,Least Concern,Grasslands,Bangalore,East India,Survives in arid climates,winter,morning
Rose,Nelumbo nucifera,No,Near Threatened,Orchards,Lucknow,West India,Healing properties for skin,summer,morning
Pine Tree,Ocimum sanctum,No,Endangered,Orchards,Hyderabad,Northeast India,Healing properties for skin,summer,night
Aloe Vera,Mangifera indica,No,Endangered,Urban Gardens,Bangalore,West India,Healing properties for skin,winter,afternoon
Aloe Vera,Ocimum sanctum,No,Near Threatened,Wetlands,Lucknow,South India,Turns towards the sun,summer,afternoon
Lotus,Aloe barbadensis,Yes,Least Concern,Urban Gardens,Hyderabad,Central India,Fast-growing and high yield,winter,morning
Cactus,Azadirachta indica,Yes,Near Threatened,Tropical Forests,Mumbai,North India,Evergreen and long-lived,spring,morning
Sunflower,Pinus,No,Endangered,Rainforests,Nagpur,Central India,Sacred plant in India,spring,afternoon
Rose,Cactaceae,No,Vulnerable,Tropical Forests,Delhi,Northeast India,Known for medicinal properties,summer,afternoon
Tulsi,Aloe barbadensis,No,Vulnerable,Rainforests,Chennai,North India,Healing properties for skin,summer,afternoon
Aloe Vera,Azadirachta indica,No,Vulnerable,Mountains,Kolkata,North India,Sacred plant in India,monsoon,night
Neem Tree,Nelumbo nucifera,Yes,Endangered,Mountains,Amravati,South India,Sacred plant in India,summer,afternoon
Tulsi,Pinus,Yes,Least Concern,Tropical Forests,Ahmedabad,South India,Known for medicinal properties,spring,night
Pine Tree,Ocimum sanctum,No,Least Concern,Mountains,Jaipur,Northeast India,Survives in arid climates,summer,night
Rose,Azadirachta indica,No,Endangered,Tropical Forests,Mumbai,South India,Produces delicious fruit,summer,morning
Cactus,Rosa indica,No,Endangered,Orchards,Bangalore,West India,Fast-growing and high yield,winter,morning
Sunflower,Musa acuminata,Yes,Endangered,Grasslands,Amravati,West India,Produces delicious fruit,spring,afternoon
Lotus,Helianthus annuus,Yes,Least Concern,Coastal Forests,Ahmedabad,South India,Fast-growing and high yield,summer,morning
Tulsi,Musa acuminata,Yes,Near Threatened,Fields,Ahmedabad,Northeast India,Symbol of love and beauty,spring,morning
Banana Plant,Mangifera indica,No,Least Concern,Tropical Forests,Ahmedabad,North India,Known for medicinal properties,summer,night
Banana Plant,Musa acuminata,Yes,Vulnerable,Urban Gardens,Ahmedabad,West India,Known for medicinal properties,summer,morning
Mango Tree,Pinus,Yes,Vulnerable,Orchards,Hyderabad,Central India,Known for medicinal properties,monsoon,morning
Aloe Vera,Mangifera indica,No,Endangered,Tropical Forests,Kolkata,East India,National flower of India,monsoon,morning
Mango Tree,Pinus,Yes,Vulnerable,Deserts,Lucknow,East India,Healing properties for skin,summer,afternoon
Mango Tree,Rosa indica,No,Near Threatened,Grasslands,Nagpur,East India,Healing properties for skin,summer,morning
Tulsi,Aloe barbadensis,Yes,Near Threatened,Deserts,Delhi,East India,Symbol of love and beauty,summer,night
Lotus,Musa acuminata,No,Endangered,Orchards,Bangalore,East India,Produces delicious fruit,winter,afternoon
Mango Tree,Pinus,Yes,Vulnerable,Fields,Ahmedabad,West India,Healing properties for skin,spring,morning
Pine Tree,Ocimum sanctum,No,Least Concern,Rainforests,Delhi,South India,Produces delicious fruit,winter,morning
Sunflower,Pinus,Yes,Vulnerable,Coastal Forests,Pune,West India,National flower of India,summer,afternoon
Cactus,Cactaceae,No,Near Threatened,Urban Gardens,Chennai,North India,Sacred plant in India,monsoon,morning
Cactus,Helianthus annuus,Yes,Near Threatened,Tropical Forests,Kolkata,Northeast India,Sacred plant in India,spring,morning
Pine Tree,Musa acuminata,Yes,Near Threatened,Grasslands,Chennai,Northeast India,Turns towards the sun,summer,afternoon
Rose,Aloe barbadensis,No,Endangered,Orchards,Delhi,South India,Symbol of love and beauty,winter,night
Aloe Vera,Ocimum sanctum,No,Endangered,Coastal Forests,Jaipur,South India,National flower of India,winter,afternoon
Rose,Rosa indica,Yes,Near Threatened,Deserts,Chennai,Northeast India,Fast-growing and high yield,winter,morning
Aloe Vera,Cactaceae,No,Near Threatened,Deserts,Ahmedabad,East India,Symbol of love and beauty,winter,morning
Neem Tree,Musa acuminata,Yes,Endangered,Orchards,Jaipur,East India,Sacred plant in India,monsoon,morning
Cactus,Azadirachta indica,No,Vulnerable,Fields,Lucknow,West India,Evergreen and long-lived,winter,morning
Cactus,Helianthus annuus,Yes,Vulnerable,Fields,Hyderabad,Northeast India,Produces delicious fruit,spring,morning
Aloe Vera,Pinus,Yes,Endangered,Urban Gardens,Bangalore,South India,Sacred plant in India,summer,night
Mango Tree,Mangifera indica,Yes,Near Threatened,Urban Gardens,Ahmedabad,West India,Produces delicious fruit,spring,morning
Rose,Mangifera indica,Yes,Vulnerable,Mountains,Jaipur,South India,Symbol of love and beauty,monsoon,morning
Sunflower,Cactaceae,No,Near Threatened,Orchards,Ahmedabad,South India,Symbol of love and beauty,summer,afternoon
Neem Tree,Musa acuminata,No,Least Concern,Coastal Forests,Hyderabad,East India,National flower of India,monsoon,afternoon
Rose,Aloe barbadensis,Yes,Vulnerable,Rainforests,Amravati,South India,Evergreen and long-lived,spring,afternoon
Tulsi,Rosa indica,No,Endangered,Urban Gardens,Ahmedabad,Central India,Sacred plant in India,spring,morning
Banana Plant,Nelumbo nucifera,Yes,Vulnerable,Rainforests,Pune,East India,Evergreen and long-lived,spring,night
Sunflower,Ocimum sanctum,No,Least Concern,Wetlands,Chennai,East India,Symbol of love and beauty,monsoon,morning
Mango Tree,Mangifera indica,Yes,Near Threatened,Deserts,Kolkata,South India,Evergreen and long-lived,spring,night
Sunflower,Pinus,No,Least Concern,Grasslands,Bangalore,South India,National flower of India,winter,morning
Pine Tree,Mangifera indica,Yes,Endangered,Coastal Forests,Nagpur,Northeast India,Evergreen and long-lived,summer,morning
Cactus,Musa acuminata,Yes,Near Threatened,Orchards,Mumbai,West India,Fast-growing and high yield,winter,night
Mango Tree,Cactaceae,No,Least Concern,Deserts,Lucknow,North India,Evergreen and long-lived,monsoon,afternoon
Banana Plant,Musa acuminata,No,Near Threatened,Coastal Forests,Bangalore,Northeast India,Turns towards the sun,monsoon,afternoon
Lotus,Ocimum sanctum,No,Near Threatened,Orchards,Pune,North India,Known for medicinal properties,monsoon,morning
Rose,Nelumbo nucifera,No,Vulnerable,Fields,Hyderabad,North India,Known for medicinal properties,summer,night
Sunflower,Helianthus annuus,No,Endangered,Coastal Forests,Amravati,Northeast India,Known for medicinal properties,winter,morning
Cactus,Mangifera indica,No,Least Concern,Rainforests,Hyderabad,South India,National flower of India,spring,morning
Neem Tree,Pinus,Yes,Least Concern,Tropical Forests,Pune,North India,Survives in arid climates,summer,night
Banana Plant,Nelumbo nucifera,No,Least Concern,Tropical Forests,Bangalore,North India,Turns towards the sun,monsoon,night
Mango Tree,Pinus,No,Least Concern,Fields,Hyderabad,Northeast India,Symbol of love and beauty,spring,afternoon
Neem Tree,Azadirachta indica,No,Vulnerable,Mountains,Pune,South India,National flower of India,monsoon,afternoon
Mango Tree,Ocimum sanctum,No,Vulnerable,Urban Gardens,Kolkata,Central India,Symbol of love and beauty,summer,morning
Rose,Nelumbo nucifera,Yes,Vulnerable,Tropical Forests,Lucknow,Central India,National flower of India,spring,morning
Pine Tree,Helianthus annuus,Yes,Endangered,Rainforests,Nagpur,South India,Evergreen and long-lived,summer,afternoon
Sunflower,Ocimum sanctum,Yes,Near Threatened,Wetlands,Amravati,West India,Turns towards the sun,monsoon,afternoon
Banana Plant,Mangifera indica,Yes,Endangered,Deserts,Amravati,East India,Evergreen and long-lived,spring,afternoon
Lotus,Aloe barbadensis,Yes,Endangered,Deserts,Mumbai,East India,Symbol of love and beauty,spring,afternoon
Rose,Nelumbo nucifera,Yes,Near Threatened,Urban Gardens,Bangalore,South India,Fast-growing and high yield,summer,night
Neem Tree,Azadirachta indica,No,Near Threatened,Orchards,Chennai,North India,Sacred plant in India,winter,night
Banana Plant,Azadirachta indica,Yes,Near Threatened,Fields,Bangalore,West India,Healing properties for skin,spring,afternoon
Tulsi,Rosa indica,Yes,Near Threatened,Urban Gardens,Kolkata,East India,Sacred plant in India,winter,night
Banana Plant,Rosa indica,No,Endangered,Tropical Forests,Amravati,Central India,Survives in arid climates,winter,night
Mango Tree,Azadirachta indica,Yes,Endangered,Wetlands,Hyderabad,South India,Known for medicinal properties,summer,night
Tulsi,Nelumbo nucifera,Yes,Vulnerable,Rainforests,Pune,North India,Evergreen and long-lived,spring,afternoon
Aloe Vera,Helianthus annuus,Yes,Vulnerable,Wetlands,Delhi,North India,Produces delicious fruit,monsoon,night
Rose,Rosa indica,No,Least Concern,Orchards,Mumbai,East India,Evergreen and long-lived,monsoon,afternoon
Sunflower,Azadirachta indica,No,Vulnerable,Rainforests,Amravati,Central India,Evergreen and long-lived,monsoon,afternoon
Cactus,Aloe barbadensis,No,Endangered,Orchards,Chennai,Northeast India,Sacred plant in India,monsoon,afternoon
Tulsi,Cactaceae,No,Least Concern,Orchards,Ahmedabad,Northeast India,Fast-growing and high yield,winter,morning
Aloe Vera,Mangifera indica,Yes,Endangered,Orchards,Delhi,West India,Produces delicious fruit,monsoon,afternoon
Lotus,Ocimum sanctum,Yes,Near Threatened,Tropical Forests,Amravati,Northeast India,Evergreen and long-lived,summer,morning
Tulsi,Rosa indica,Yes,Endangered,Deserts,Pune,East India,Known for medicinal properties,winter,night
Banana Plant,Ocimum sanctum,Yes,Vulnerable,Orchards,Chennai,Northeast India,National flower of India,summer,night
Banana Plant,Musa acuminata,No,Near Threatened,Fields,Ahmedabad,Northeast India,Evergreen and long-lived,monsoon,night
Aloe Vera,Helianthus annuus,Yes,Least Concern,Rainforests,Bangalore,East India,Survives in arid climates,monsoon,morning
Banana Plant,Azadirachta indica,No,Near Threatened,Rainforests,Amravati,East India,National flower of India,monsoon,night
Sunflower,Mangifera indica,Yes,Least Concern,Orchards,Kolkata,Northeast India,Healing properties for skin,winter,night
Pine Tree,Mangifera indica,No,Near Threatened,Grasslands,Amravati,East India,Produces delicious fruit,summer,morning
Lotus,Rosa indica,Yes,Least Concern,Orchards,Amravati,Central India,Fast-growing and high yield,monsoon,night
Sunflower,Aloe barbadensis,No,Endangered,Tropical Forests,Lucknow,Central India,Sacred plant in India,spring,night
Lotus,Ocimum sanctum,No,Near Threatened,Rainforests,Jaipur,Central India,Healing properties for skin,winter,morning
Cactus,Mangifera indica,No,Vulnerable,Fields,Nagpur,South India,Produces delicious fruit,summer,night
Banana Plant,Pinus,Yes,Endangered,Deserts,Bangalore,South India,Turns towards the sun,summer,night
Tulsi,Rosa indica,No,Near Threatened,Grasslands,Kolkata,Central India,Fast-growing and high yield,monsoon,night
Tulsi,Cactaceae,Yes,Near Threatened,Deserts,Ahmedabad,North India,Symbol of love and beauty,summer,afternoon
Mango Tree,Nelumbo nucifera,Yes,Vulnerable,Rainforests,Ahmedabad,North India,Survives in arid climates,spring,afternoon
Rose,Pinus,Yes,Endangered,Deserts,Mumbai,East India,Fast-growing and high yield,spring,morning
Rose,Pinus,No,Endangered,Urban Gardens,Nagpur,North India,Healing properties for skin,summer,afternoon
Lotus,Azadirachta indica,No,Endangered,Urban Gardens,Amravati,North India,Produces delicious fruit,summer,night
Lotus,Azadirachta indica,Yes,Near Threatened,Orchards,Jaipur,Central India,Turns towards the sun,summer,afternoon
Pine Tree,Azadirachta indica,No,Endangered,Urban Gardens,Lucknow,North India,Fast-growing and high yield,winter,afternoon
Pine Tree,Azadirachta indica,No,Near Threatened,Fields,Kolkata,Central India,Produces delicious fruit,monsoon,afternoon
Tulsi,Helianthus annuus,Yes,Near Threatened,Grasslands,Mumbai,Northeast India,Symbol of love and beauty,winter,night
Rose,Helianthus annuus,Yes,Near Threatened,Deserts,Mumbai,North India,Symbol of love and beauty,spring,morning
Rose,Ocimum sanctum,No,Endangered,Mountains,Nagpur,North India,Symbol of love and beauty,spring,afternoon
Cactus,Ocimum sanctum,No,Least Concern,Coastal Forests,Jaipur,Northeast India,Symbol of love and beauty,summer,night
